Gene	5 prime intergenic length	Motif count	Motif positions(plus strand)	Motif positions(minus strand)
PMAA_007910	2500	6	-35,-1208	-21,-543,-1382,-1498
PMAA_080170	806	8	-334,-373,-454,-551,-578,-641,-682	-495
PMAA_074400	572	3	-272,-568	-255
PMAA_065780	834	1		-90
PMAA_044660	2500	16	-791,-1160,-1184,-1309,-1329,-1381,-1437,-1599,-1894,-2045,-2316	-1117,-1245,-1253,-1356,-2255
PMAA_040990	388	3		-72,-139,-243
PMAA_072120	2500	6	-318,-644,-979,-1128	-105,-344
PMAA_102030	401	1		-303
PMAA_001510	1099	2	-491,-834	
PMAA_030850	255	1	-232	
PMAA_004620	2500	5	-602,-2050,-2200	-351,-2106
PMAA_085020	598	4	-198,-393,-549	-7
PMAA_080280	1018	4	-27	-320,-796,-929
PMAA_009950	2500	9	-253,-1208,-1602	-649,-697,-979,-1095,-1678,-1701
PMAA_051540	615	4	-146,-188	-107,-307
PMAA_005980	1087	7	-150,-854,-1041	-569,-695,-774,-1000
PMAA_075540	1039	10		-13,-104,-206,-343,-554,-589,-654,-797,-840,-858
PMAA_090500	2500	10	-1423,-1703,-1786,-2245,-2303	-89,-437,-1900,-1910,-1979
PMAA_090050	880	2	-283	-738
PMAA_027860	478	2	-49	-439
PMAA_091670	425	1	-202	
PMAA_035310	137	1		-29
PMAA_030140	2247	10	-110,-354,-425,-544,-950,-1394	-626,-1057,-1479,-1695
PMAA_101920	1360	7	-689,-913,-1065,-1342	-853,-1015,-1276
PMAA_035640	161	1		-55
PMAA_020480	1075	2		-413,-553
PMAA_039150	336	2	-261	-40
PMAA_028670	309	3	-170	-174,-241
PMAA_102690	2500	10	-622,-636,-715,-1539,-1584,-1638	-717,-745,-867,-1456
PMAA_096900	690	3	-134	-53,-65
PMAA_053900	2500	11	-420,-544,-848,-1151,-1213	-184,-822,-1102,-1646,-1850,-2081
PMAA_005180	309	5	-97,-152,-219	-29,-225
PMAA_083150	1852	8	-832,-1091,-1365	-133,-149,-570,-1578,-1607
PMAA_083480	287	2	-108	-80
PMAA_057620	726	1	-452	
PMAA_004850	2500	5	-30,-37,-959	-579,-773
PMAA_080820	528	1		-380
PMAA_051050	469	3	-198,-422	-353
PMAA_051500	1626	3	-1184	-813,-857
PMAA_078430	1184	6	-176,-275,-483,-681	-69,-756
PMAA_010610	1028	5		-366,-393,-617,-684,-692
PMAA_009370	900	3	-282,-462	-228
PMAA_005320	426	1		-101
PMAA_055990	992	6	-207,-635	-255,-487,-501,-794
PMAA_014760	2309	1		-1273
PMAA_027280	211	1		-39
PMAA_049310	1819	10	-264,-851,-859	-85,-141,-367,-388,-507,-610,-974
PMAA_083730	501	4	-69	-67,-204,-343
PMAA_062250	392	3	-26,-220	-168
PMAA_023660	413	1		-399
PMAA_004580	561	2	-506	-119
PMAA_078380	344	5	-235,-259,-293,-321	-96
PMAA_045860	913	4	-501,-565	-218,-257
PMAA_061780	614	2		-176,-285
PMAA_069200	831	2	-730	-15
PMAA_070450	287	1	-164	
PMAA_014540	2500	4	-1925	-246,-342,-879
PMAA_036660	534	1		-41
PMAA_055190	662	3	-34	-112,-129
PMAA_082170	152	1	-92	
PMAA_031810	241	2	-177	-108
PMAA_044190	2500	12	-296,-376,-1039	-268,-625,-871,-1439,-1545,-1728,-1794,-2088,-2344
PMAA_076710	241	1		0
PMAA_093740	715	2	-60	-307
PMAA_062780	1934	2		-1603,-1676
PMAA_067550	407	1	-256	
PMAA_082280	1853	3	-86,-874	-1565
PMAA_059880	811	3	-409,-427,-504	
PMAA_033940	215	1		-148
PMAA_033760	450	3	-144,-256,-294	
PMAA_064090	368	1	-139	
PMAA_076240	1846	7	-575,-798,-854,-1454	-434,-1111,-1202
PMAA_023900	681	3	-244	-224,-315
PMAA_085250	514	1		-337
PMAA_060780	465	1	-21	
PMAA_055370	456	4	-123,-150,-377	-25
PMAA_074580	524	2		-15,-52
PMAA_016900	853	11	-12,-112,-215,-268,-370	-246,-325,-530,-637,-645,-681
PMAA_043080	1984	13	-275,-820,-1116,-1232,-1294,-1394,-1788,-1844,-1869,-1888,-1951	-756,-1714
PMAA_074240	601	3	-78,-281,-366	
PMAA_049460	408	2		-36,-61
PMAA_047640	2500	9	-676,-705,-1258	-1220,-1460,-1613,-1741,-2127,-2434
PMAA_088900	204	1		-122
PMAA_040690	263	2	-33,-59	
PMAA_052970	2500	11	-45,-421,-928,-1311,-1394,-1951,-2261	-503,-584,-1747,-2046
PMAA_019120	165	1		-16
PMAA_082460	1755	5		-162,-547,-1274,-1351,-1596
PMAA_048370	240	1	-219	
PMAA_029290	217	3		-2,-11,-196
PMAA_086500	412	1		-180
PMAA_012110	2204	12	-765,-1506,-1517,-1525,-1557,-1897	-707,-1232,-1484,-1492,-1871,-1885
PMAA_089230	577	4	-422,-532	-123,-557
PMAA_093350	1032	1		-255
PMAA_016650	317	1		-38
PMAA_042690	167	1	-159	
PMAA_050820	2500	15	-1925,-2006,-2116,-2488	-156,-366,-636,-944,-1207,-1345,-1421,-1441,-1509,-1570,-1730
PMAA_018610	258	1		-174
PMAA_043330	274	3	-9,-24	-204
PMAA_065410	1240	6	-1187	-42,-159,-275,-690,-1072
PMAA_075050	936	9	-161,-500,-860	-53,-444,-620,-754,-765,-900
PMAA_015140	631	2	-106,-394	
PMAA_019870	320	1		-51
PMAA_048190	2500	16	-211,-224,-232,-360,-945,-1533,-1800,-2181,-2278,-2353	-89,-901,-924,-1096,-1910,-1944
PMAA_019690	337	1	-248	
PMAA_100570	870	2	-503	-623
PMAA_066200	826	1	-811	
PMAA_043110	727	1	-444	
PMAA_066800	1504	7	-627,-680,-838,-1108,-1452	-599,-1088
PMAA_045480	721	2	-109,-322	
PMAA_007210	2500	4	-735,-823,-965,-1544	
PMAA_008240	1689	5	-367,-400,-967,-1262,-1484	
PMAA_007740	1131	8	-61,-309,-676,-718,-895	-192,-753,-1117
PMAA_034230	1008	3		-524,-745,-946
PMAA_017260	223	1	-194	
PMAA_068330	881	2	-716	-163
PMAA_025190	724	1		-170
PMAA_003050	168	1		-144
PMAA_065570	913	2	-370,-533	
PMAA_052350	2500	9	-54,-1934,-2117	-509,-540,-2204,-2222,-2274,-2282
PMAA_074500	487	1	-70	
PMAA_048990	2500	11	-1853	-80,-296,-398,-700,-766,-1031,-1793,-1871,-2234,-2382
PMAA_021850	528	1		-66
PMAA_092590	773	1	-403	
PMAA_046590	2500	11	-985,-1317,-2347	-301,-309,-517,-864,-1807,-2164,-2276,-2282
PMAA_092440	1351	9	-69,-683,-952,-1099,-1331	-644,-840,-1122,-1329
PMAA_020100	335	3	-127,-135,-309	
PMAA_003900	843	4	-492,-661	-394,-620
PMAA_098260	2500	4	-625	-95,-845,-1055
PMAA_088010	2500	7	-713,-1851	-561,-861,-880,-890,-1065
PMAA_013640	2500	11	-298,-597,-823,-832,-1132,-1315,-1432,-2483	-690,-722,-1529
PMAA_095740	1184	3	-170,-1042	-522
PMAA_099240	1008	6	-375	-379,-447,-606,-629,-669
PMAA_084610	480	2		-117,-428
PMAA_095210	330	3	-199	-89,-160
PMAA_006330	2500	6	-88,-730,-856,-922	-1399,-2463
PMAA_042060	401	2		-224,-330
PMAA_097520	661	2	-587	-632
PMAA_003550	183	3	-27,-119,-125	
PMAA_046770	692	8	-75,-91,-121,-145	-73,-476,-572,-684
PMAA_053750	1041	7	-257,-855	-116,-231,-255,-266,-1029
PMAA_056500	332	1	-270	
PMAA_020810	600	6	-173,-265,-321,-510	-206,-363
PMAA_071590	339	4	-273,-317	-271,-302
PMAA_056050	2323	4	-913	-247,-355,-1476
PMAA_058900	466	3	-450	-305,-425
PMAA_077660	647	1		-423
PMAA_013460	2500	4	-229,-809,-888	-1406
PMAA_079360	193	2	-27	-41
PMAA_090190	936	1		-753
PMAA_067310	340	1	-188	
PMAA_051880	693	9	-510,-659	-63,-179,-192,-238,-260,-322,-509
PMAA_057450	526	3	-344	-313,-468
PMAA_033000	2500	5	-338,-1446	-383,-1062,-2481
PMAA_001740	1519	2	-1319	-197
PMAA_064950	356	1	-163	
PMAA_036890	1059	3	-84	-21,-162
PMAA_000830	950	3		-420,-563,-761
PMAA_005840	259	3		-42,-55,-148
PMAA_082720	531	1	-342	
PMAA_070620	817	5	-249,-347,-531,-708	-166
PMAA_071620	159	1	-68	
PMAA_091790	489	4	-239,-434	-206,-339
PMAA_027450	2500	6	-1926,-2027	-109,-863,-1041,-1099
PMAA_075290	1092	10	-343,-381,-641	-132,-244,-310,-474,-516,-629,-668
PMAA_038140	185	2	-165	-46
PMAA_021670	2500	12	-739,-951,-1297,-1334,-1351,-1530,-1576	-210,-491,-1013,-1234,-1318
PMAA_001230	405	2		-312,-332
PMAA_030330	625	2	-577,-620	
PMAA_091060	741	5	-228,-337,-356,-678	-433
PMAA_030440	686	1		-381
PMAA_006110	810	4	-154,-190,-511	-527
PMAA_084270	303	1		-132
PMAA_017550	1501	7	-212,-420,-917	-144,-1130,-1162,-1218
PMAA_085880	400	3	-369,-393	-154
PMAA_096590	726	2	-580	-540
PMAA_027630	572	2		-34,-559
PMAA_093510	2096	5	-175,-1249	-494,-1530,-1733
PMAA_057900	191	1		-105
PMAA_050590	2484	8	-194,-216,-510,-1037,-1106,-1256,-2023	-768
PMAA_076160	786	3	-45,-310,-499	
PMAA_040500	95	1	-23	
PMAA_059500	519	6	-92,-137,-453,-497	-238,-298
PMAA_091240	502	2	-466	-370
PMAA_077280	964	2	-282	-630
PMAA_026050	606	4	-122,-256,-523	-521
PMAA_073440	244	1		-155
PMAA_054900	551	5	-223,-251	-14,-21,-187
PMAA_043850	1658	4	-152,-489,-726,-1384	
PMAA_041040	587	1		-153
PMAA_073990	2500	3	-2294	-304,-995
PMAA_049810	1199	3	-378,-503,-1051	
PMAA_049760	2500	3	-892,-1715,-1958	
PMAA_044970	491	4	-407	-13,-143,-342
PMAA_082610	654	4	-66,-249	-215,-549
PMAA_008710	2500	8	-1167,-1177	-519,-575,-1291,-1494,-1892,-1943
PMAA_102440	2157	3	-484,-2050	-729
PMAA_035780	131	3	-62	-40,-76
PMAA_045100	1831	1	-1114	
PMAA_066780	635	5	-48,-489	-282,-384,-608
PMAA_073190	375	3	-16,-149	-83
PMAA_010280	2500	7	-1634,-2345	-107,-365,-1658,-1675,-2203
PMAA_073660	513	2		-231,-408
PMAA_009740	2401	11	-198,-1008,-1321,-1782,-2066,-2079	-448,-467,-1856,-1869,-2050
PMAA_102200	711	3	-181,-230	-429
PMAA_075150	520	2		-303,-457
PMAA_049100	1156	5	-103,-454,-777,-845,-898	
PMAA_037250	401	2	-162	-55
PMAA_062440	381	3	-194,-313	-254
PMAA_037780	2491	7	-242,-432,-526,-1171,-1917	-853,-859
PMAA_063760	546	2	-487	-155
PMAA_077630	1351	4	-55,-455	-212,-539
PMAA_035010	172	1		-49
PMAA_061060	735	1	-681	
PMAA_092600	851	5	-49,-110,-690	-3,-738
PMAA_022820	1785	9	-462,-624,-921,-1045,-1223,-1288,-1497,-1654	-530
PMAA_026830	352	1		-104
PMAA_026460	1535	12	-716,-916,-974,-1423,-1534	-103,-445,-827,-903,-1292,-1345,-1488
PMAA_039360	2500	9	-737,-1255,-1443,-1908,-2310,-2347	-51,-1067,-1287
PMAA_096730	551	2	-78	-408
PMAA_031170	1579	9	-272,-469,-1577	-202,-236,-709,-836,-1272,-1363
PMAA_025940	278	4	-15,-214,-230	-177
PMAA_036780	539	2		-203,-235
PMAA_052100	552	2	-471	-248
PMAA_032150	1154	4		-204,-478,-602,-770
PMAA_052500	2500	10	-15,-930,-1549,-1845,-2012	-257,-359,-1315,-1898,-2146
PMAA_054760	1116	3	-1054	-767,-1089
PMAA_051310	396	3	-174,-300	-205
PMAA_010860	1370	11	-405,-444,-465,-888	-573,-612,-683,-849,-858,-1112,-1288
PMAA_092740	348	1		-298
PMAA_026030	1270	3	-1104	-294,-1085
PMAA_086750	827	5	-169,-734	-38,-263,-285
PMAA_096280	446	2		-29,-37
PMAA_014150	1076	6		-51,-182,-373,-384,-889,-949
PMAA_018420	179	1		-147
PMAA_084440	744	5	-512	-69,-227,-401,-558
PMAA_042210	195	3		-5,-13,-25
PMAA_082870	1627	6	-1382	-394,-661,-879,-1288,-1546
PMAA_016420	1152	3		-143,-517,-595
PMAA_075900	2500	9	-654,-805,-901,-1963,-2097,-2454	-807,-1018,-1511
PMAA_036270	414	1		-29
PMAA_002650	531	7	-189,-199,-505	-329,-344,-362,-370
PMAA_070360	2500	3	-1866,-2290	-1467
PMAA_064130	2042	3		-130,-1430,-1962
PMAA_085290	226	1	-166	
PMAA_008030	1533	9	-28,-426,-490,-505,-717,-1174,-1252	-444,-635
PMAA_054340	2476	8	-234,-490,-739,-970,-1219	-464,-740,-975
PMAA_060330	181	1	-55	
PMAA_007020	822	9	-67,-508,-533,-617,-731,-808	-44,-627,-782
PMAA_076900	2500	5	-1366,-2016	-993,-1417,-2365
PMAA_019480	1135	4	-536,-921	-877,-938
PMAA_079170	1965	2		-473,-804
PMAA_067810	617	3	-132	-324,-567
PMAA_017170	825	1	-771	
PMAA_062860	1113	7	-614,-676,-905,-957,-967	-73,-85
PMAA_100320	335	2	-203,-284	
PMAA_038960	2500	6	-1004,-1029	-776,-878,-1551,-2199
PMAA_022540	911	4	-563,-848	-116,-873
PMAA_000790	455	1	-202	
PMAA_085060	1990	5	-922,-1171	-66,-402,-1457
PMAA_030290	623	3	-268,-517,-542	
PMAA_098070	521	5	-100,-353,-442	-9,-176
PMAA_081990	340	3	-208,-330	-239
PMAA_022240	798	3	-780	-550,-624
PMAA_099380	445	6	-143,-152,-160,-174,-204	-273
PMAA_097950	384	1	-344	
PMAA_021440	843	2		-149,-445
PMAA_087930	447	2	-163,-289	
PMAA_069860	217	1		-10
PMAA_023010	858	1	-473	
PMAA_012700	383	2		-148,-168
PMAA_012250	321	1		-168
PMAA_029460	422	1		-66
PMAA_053470	468	4	-201,-321,-420	-66
PMAA_007680	601	3	-194	-174,-436
PMAA_056260	1693	7	-1046,-1254	-553,-784,-1122,-1328,-1595
PMAA_094350	48	1	-24	
PMAA_094600	277	1		-234
PMAA_081190	2169	3	-1447	-1077,-1947
PMAA_015630	2196	9	-298,-1142,-1769,-2137	-521,-544,-1266,-1476,-1772
PMAA_047360	2500	3	-932	-938,-2187
PMAA_023540	354	1		-149
PMAA_059470	2500	13	-89,-441,-1538,-1630,-1977	-236,-424,-531,-1579,-1985,-2207,-2298,-2473
PMAA_024380	194	1		0
PMAA_015950	1547	2	-1283	-9
PMAA_001350	2301	4	-892,-1613,-2193	-1023
PMAA_097780	303	1		-225
PMAA_001680	1825	9	-75,-770	-50,-140,-299,-449,-775,-925,-1547
PMAA_080110	2500	4	-107,-2445	-1050,-1234
PMAA_043620	342	3	-261	-3,-32
PMAA_039560	327	1	-133	
PMAA_088460	706	5	-178,-311,-676	-524,-537
PMAA_056190	231	1		-52
PMAA_017030	2098	5	-1310,-1409,-1752,-1758	-53
PMAA_084910	173	2	-16	-108
PMAA_003260	494	3	-40,-402	-423
PMAA_099650	363	3	-197	-85,-117
PMAA_079280	141	1	-40	
PMAA_030340	772	2		-161,-284
PMAA_022940	907	5	-333,-349	-4,-150,-379
PMAA_101490	636	2		-66,-349
PMAA_030830	597	4	-80,-101,-407	-496
PMAA_020710	988	2		-6,-100
PMAA_094970	494	1		-407
PMAA_043990	759	1		-319
PMAA_098920	2500	6	-44,-231,-510,-1567,-2256	-352
PMAA_073850	434	4	-323	-58,-103,-323
PMAA_056990	431	2		-126,-148
PMAA_063010	619	3		-120,-318,-606
PMAA_013070	130	4	-47,-94	-30,-45
PMAA_028730	2500	13	-247,-422,-713,-766,-945,-1105,-1172,-1474	-161,-190,-249,-1312,-2318
PMAA_058470	405	3	-257	-191,-244
PMAA_095000	1253	3		-39,-345,-1185
PMAA_027840	2500	7	-1087,-1292,-1541,-1841	-6,-235,-1299
PMAA_090030	118	1	-112	
PMAA_090070	495	1		-172
PMAA_099030	2058	3	-342,-2045	-349
PMAA_057020	468	3	-434	-44,-102
PMAA_035660	2470	11	-504,-1246,-1262,-1316,-1615,-1685,-1909	-446,-1244,-1509,-1631
PMAA_091650	208	2		-16,-175
PMAA_083250	2500	7	-811,-1099,-1456,-2137,-2277	-639,-782
PMAA_054220	911	4	-69,-509	-592,-799
PMAA_059250	845	6	-176,-216,-403,-797	-238,-485
PMAA_006590	386	2	-112,-129	
PMAA_039170	418	2	-127	-55
PMAA_053250	2500	12	-265,-1381,-1719,-1909,-2257,-2303	-24,-920,-1192,-1210,-1238,-2324
PMAA_023280	507	3	-479	-204,-313
PMAA_053920	2500	6	-357,-444,-762,-859	-799,-2223
PMAA_096920	618	4		-75,-192,-556,-563
PMAA_028370	1979	11	-644,-890,-1031,-1281,-1384,-1602	-33,-834,-1032,-1180,-1491
PMAA_083130	351	5	-58,-208	-35,-136,-217
PMAA_050690	541	5	-85,-281,-383,-479,-487	
PMAA_072100	1381	10	-64,-685,-1056	-43,-89,-99,-348,-388,-486,-496
PMAA_072450	1233	8	-130,-140,-582,-766	-46,-113,-581,-1020
PMAA_078410	395	1		-113
PMAA_051070	2500	3		-636,-1275,-2357
PMAA_041580	1045	4	-402,-912,-993	-160
PMAA_073270	1074	6	-596,-665,-675	-272,-330,-789
PMAA_080800	552	3	-292	-144,-441
PMAA_010670	2500	13	-607,-1076,-2198,-2312,-2432	-2,-269,-766,-1009,-1047,-1122,-1208,-2142
PMAA_009350	1021	3	-303	-119,-198
PMAA_094470	697	2	-687	-280
PMAA_078550	294	2	-264	-9
PMAA_018850	2500	5	-566,-1047,-1666,-2169	-937
PMAA_053070	646	4		-5,-213,-406,-569
PMAA_062270	2500	9	-1149,-1866,-1891	-609,-615,-1638,-1646,-1740,-2413
PMAA_049370	297	3	-127,-249	-8
PMAA_074880	2207	9	-805,-1282,-1487,-1512,-1682,-1794	-749,-943,-1681
PMAA_010490	802	3	-604	-51,-749
PMAA_050250	2312	8	-239,-248,-527,-1631,-1809,-2071	-101,-2104
PMAA_063900	822	1		-794
PMAA_064300	2219	10	-665,-858	-257,-347,-783,-964,-1343,-1654,-1876,-2069
PMAA_036310	2200	11	-1318,-1713,-1773,-1781	-617,-848,-1093,-1116,-1202,-1613,-1983
PMAA_036640	483	2		-108,-343
PMAA_055170	2500	13	-109,-183,-555,-1039,-1682	-16,-43,-140,-339,-352,-413,-1836,-1899
PMAA_071060	843	1		-78
PMAA_004550	1003	6	-102	-71,-308,-351,-759,-855
PMAA_093720	191	1	-86	
PMAA_040300	1444	8	-29,-87,-803,-1057,-1404,-1440	-434,-927
PMAA_062050	2500	10	-321,-355,-711,-1170,-1228	-484,-825,-835,-904,-1666
PMAA_029920	245	2	-138,-237	
PMAA_069080	404	3	-195	-115,-141
PMAA_023920	1120	3	-950,-1055,-1090	
PMAA_089030	1010	3		-37,-606,-836
PMAA_085270	182	2	-43	-24
PMAA_055310	2500	5	-2499	-515,-609,-985,-1879
PMAA_049590	1212	3	-186	-353,-1062
PMAA_006920	2109	8	-528,-1381,-1540,-1729	-446,-1709,-1977,-2002
PMAA_015550	2500	14	-511,-1068,-1137,-1147,-1216,-1392,-1886	-90,-194,-263,-744,-802,-1452,-1654
PMAA_074260	300	3	-42,-275	-90
PMAA_023350	584	3	-280,-514,-533	
PMAA_088920	633	3	-46	-491,-591
PMAA_047620	977	3	-401,-506	-203
PMAA_047990	813	5	-233,-272,-353	-693,-789
PMAA_048350	586	1	-367	
PMAA_048420	953	4	-369	-250,-527,-629
PMAA_087690	1403	8	-295,-657,-1162,-1215,-1305,-1343	-259,-1198
PMAA_019100	436	2	-399	-143
PMAA_087160	356	4	-154,-216,-327	-329
PMAA_017610	844	4	-688	-161,-242,-281
PMAA_066190	1216	5	-303,-634,-1087	-564,-1068
PMAA_045840	2500	4	-1750,-2234	-2066,-2162
PMAA_017940	335	4	-22,-82,-206,-217	
PMAA_086560	1001	5	-139,-321	-709,-831,-967
PMAA_085180	2500	4	-1362,-2087	-1171,-1859
PMAA_011720	347	1		-330
PMAA_063650	449	2		-163,-244
PMAA_059650	1418	5	-173,-354,-887	-209,-274
PMAA_018670	194	2	-135	-116
PMAA_050840	696	2	-157	-500
PMAA_068680	2426	11	-496,-699,-867,-1614,-1632	-478,-661,-738,-1084,-1234,-1450
PMAA_081690	538	1		-82
PMAA_047190	577	1	-307	
PMAA_049560	1006	5	-421,-795	-375,-597,-763
PMAA_065430	603	3	-126,-457	-113
PMAA_019810	970	2	-446	-746
PMAA_100510	813	8	-121,-553	-93,-384,-392,-582,-774,-785
PMAA_066220	2500	5	-1560	-573,-719,-1115,-2270
PMAA_007760	2500	14	-316,-347,-1472,-2482	-296,-639,-704,-935,-1077,-1141,-1487,-1721,-2116,-2488
PMAA_060100	800	4	-53,-452,-697	-695
PMAA_083050	221	2	-12,-167	
PMAA_008260	870	3	-193,-776	-504
PMAA_034250	1001	6	-663,-683	-373,-510,-615,-923
PMAA_022380	2027	9	-28,-153,-912,-1450,-1919,-1942	-540,-633,-1498
PMAA_068350	301	1		-109
PMAA_065550	836	2	-821	-608
PMAA_084580	431	2	-35,-220	
PMAA_076300	230	1		-29
PMAA_097720	207	2	-27	-37
PMAA_097090	465	2		-4,-80
PMAA_006380	976	5	-323,-341,-351,-906	-74
PMAA_098710	1664	3	-207,-1632	-919
PMAA_016730	616	2	-372,-512	
PMAA_039990	638	4	-592	-117,-255,-294
PMAA_088780	556	1	-443	
PMAA_081030	543	1		-417
PMAA_022450	977	3	-214,-268,-492	
PMAA_088070	1618	7	-197,-422,-825,-980	-38,-101,-577
PMAA_095760	513	3	-451	-59,-181
PMAA_065880	129	1		-17
PMAA_002540	2210	6	-198,-207,-468,-951,-969	-245
PMAA_084630	357	1	-258	
PMAA_048960	349	1		-245
PMAA_097890	1083	3	-231,-994	-964
PMAA_008970	2500	7	-102,-116,-1121,-1340,-1449,-2330	-1146
PMAA_097540	344	1		-196
PMAA_046710	963	6	-266,-661	-86,-92,-129,-787
PMAA_070190	2500	8	-1069,-1217,-1285,-1610	-407,-837,-1005,-1202
PMAA_012390	230	2		-14,-211
PMAA_011930	43	1	-37	
PMAA_053000	684	2		-55,-550
PMAA_086980	629	2		-273,-280
PMAA_013440	2107	10	-378,-388,-434,-646,-733,-1142	-853,-1241,-1693,-1728
PMAA_014490	764	2		-515,-689
PMAA_076130	2500	5	-1509	-125,-604,-796,-1332
PMAA_064490	138	2	-91	-95
PMAA_079340	933	3	-289,-666,-856	
PMAA_074610	260	4	-36,-109	-47,-86
PMAA_023190	298	1	-132	
PMAA_095490	575	3	-373,-535	-77
PMAA_067370	2500	12	-93,-198,-800,-917,-1447,-1989,-2099	-289,-1275,-1682,-1894,-2165
PMAA_072730	241	2	-85,-132	
PMAA_021380	2500	8	-267,-831,-1164,-2325	-1364,-1563,-1647,-1704
PMAA_064680	1854	12	-307,-909,-963,-1288,-1332,-1542,-1755,-1784	-335,-357,-1309,-1409
PMAA_064930	416	1	-98	
PMAA_070990	562	1		-496
PMAA_064220	337	1	-187	
PMAA_029330	574	5	-59,-558	-59,-185,-503
PMAA_005820	262	1	-205	
PMAA_071640	570	5	-24,-382	-140,-330,-431
PMAA_027430	489	1		-64
PMAA_067010	397	1	-109	
PMAA_042470	314	3		-89,-132,-154
PMAA_021650	2432	6	-1864,-1985	-207,-343,-990,-1482
PMAA_072590	2243	7	-309,-551,-799,-1140	-98,-502,-2103
PMAA_021120	2172	7	-327,-1337	-67,-208,-516,-612,-915
PMAA_078140	363	3	-164,-252,-350	
PMAA_004160	915	2		-58,-497
PMAA_030310	2409	17	-201,-994,-1126,-1707,-1949,-2132	-4,-15,-82,-89,-224,-357,-592,-789,-1301,-1619,-1681
PMAA_101060	425	2	-111	-69
PMAA_005340	798	5	-23,-681	-223,-269,-435
PMAA_094010	296	1	-228	
PMAA_020380	606	4	-192	-453,-463,-532
PMAA_020830	2500	8	-148,-1130,-1266,-2367	-123,-933,-1375,-2295
PMAA_093530	2500	12	-516,-1174,-1440,-1514,-1875,-1915,-1996,-2161,-2468	-255,-394,-2128
PMAA_006250	1259	5	-203,-631,-722,-998	-881
PMAA_058780	630	2	-120,-130	
PMAA_090710	1104	2	-457	-132
PMAA_057920	572	2		-22,-315
PMAA_095940	1039	7	-192,-225,-466,-525	-504,-799,-842
PMAA_040520	1607	9	-189,-541,-997,-1006,-1084	-1263,-1328,-1345,-1377
PMAA_029710	606	5	-398,-544,-554,-571	-168
PMAA_017370	1376	5	-122,-248,-342	-292,-491
PMAA_066420	172	1		-26
PMAA_054960	641	1	-499	
PMAA_080320	2169	6	-299,-1012	-472,-603,-744,-2039
PMAA_073460	987	3	-901	-101,-476
PMAA_000810	2092	9	-146,-522,-707,-939,-1480	-265,-394,-1362,-1537
PMAA_009500	947	6	-126,-641	-195,-252,-787,-897
PMAA_054560	642	2	-197	-240
PMAA_049740	2454	7	-246,-292,-1922,-1966,-2124,-2445	-714
PMAA_071910	1607	7	-33,-279,-533,-1448	-105,-1466,-1531
PMAA_035030	613	3	-42	-90,-325
PMAA_077770	2500	22	-611,-845,-1004,-1180,-1196,-1310,-1406,-1832,-1963,-2295	-123,-204,-479,-496,-964,-1015,-1384,-1474,-1486,-2111,-2176,-2454
PMAA_101680	759	3	-10,-331,-627	
PMAA_066760	1633	2		-1185,-1410
PMAA_045120	900	3	-100,-213,-418	
PMAA_020520	1385	7	-75,-555	-532,-553,-754,-1185,-1251
PMAA_073640	2500	6	-191,-1910,-2186,-2494	-250,-2118
PMAA_026150	730	2	-171,-708	
PMAA_068900	1064	4	-97,-204,-217	-978
PMAA_039690	768	3	-643	-424,-490
PMAA_102260	1190	4	-552	-221,-350,-639
PMAA_031370	227	1	-96	
PMAA_003890	843	4	-223,-449	-182,-351
PMAA_044360	351	1		-153
PMAA_006030	1286	4	-268,-1024	-357,-1062
PMAA_077610	585	5	-268,-289,-416	-70,-110
PMAA_035500	674	2		-157,-492
PMAA_035850	2500	11	-489,-931,-1631,-2361,-2400	-10,-753,-1388,-1596,-1907,-2145
PMAA_082150	1763	10	-1004,-1014	-93,-474,-643,-876,-1092,-1157,-1250,-1700
PMAA_039340	1836	6	-65,-1154	-471,-933,-1260,-1464
PMAA_102080	2029	7	-806,-1428,-1737,-1918	-64,-154,-602
PMAA_096710	1995	2	-1449	-1370
PMAA_024130	2500	5	-1410	-619,-1208,-1235,-1365
PMAA_025920	1129	1		-299
PMAA_084800	707	2		-35,-406
PMAA_058520	948	3	-897,-938	-73
PMAA_045410	531	3	-269	-35,-291
PMAA_083850	364	2	-102	-125
PMAA_052520	2037	3	-750,-1710	-778
PMAA_052830	1303	1		-476
PMAA_087570	192	3	-161	-8,-31
PMAA_078990	253	1	-72	
PMAA_051330	890	3	-280,-467	-167
PMAA_092720	1097	6	-262	-78,-652,-694,-839,-845
PMAA_086770	537	1	-462	
PMAA_010800	1171	4	-86	-524,-663,-1036
PMAA_040280	76	1		-39
PMAA_070200	2500	6	-336,-1326,-1516	-140,-2156,-2255
PMAA_044520	755	2		-15,-95
PMAA_014130	920	4	-524,-889	-306,-313
PMAA_049120	2240	7	-49,-666,-1212	-167,-342,-1496,-1594
PMAA_018440	395	2	-36,-213	
PMAA_076690	463	2	-330,-411	
PMAA_096560	411	5	-149,-230	-29,-184,-190
PMAA_082890	1651	4	-1226,-1273	-494,-1555
PMAA_019710	206	1	-119	
PMAA_052780	318	1		-68
PMAA_048650	340	2		-205,-276
PMAA_016400	562	6	-521,-529,-537,-557	-166,-413
PMAA_078190	1602	3	-914,-998	-1265
PMAA_097390	2122	4	-1520,-1674	-555,-1295
PMAA_075920	2469	5	-48,-542	-114,-1627,-2240
PMAA_033040	687	5	-517,-523	-250,-467,-474
