Gene	5 prime intergenic length	Motif occurences
PMAA_002590	1378	5
PMAA_062880	1515	4
PMAA_046610	322	3
PMAA_056170	248	3
PMAA_096360	347	1
PMAA_071470	3442	20
PMAA_014590	27	1
PMAA_014840	1079	4
PMAA_084010	614	5
PMAA_079260	1902	6
PMAA_099980	797	3
PMAA_072070	445	3
PMAA_024180	314	1
PMAA_064870	531	2
PMAA_001480	3079	15
PMAA_036970	1301	4
PMAA_041310	713	7
PMAA_035140	1295	4
PMAA_005900	624	5
PMAA_027570	146	1
PMAA_027830	2582	7
PMAA_067110	261	1
PMAA_038600	745	5
PMAA_021750	1647	10
PMAA_035410	1269	3
PMAA_025430	2087	6
PMAA_090570	1592	3
PMAA_080460	469	1
PMAA_085490	333	1
PMAA_097440	1975	3
PMAA_031720	745	1
PMAA_093470	7941	33
PMAA_027750	1209	4
PMAA_004760	5920	23
PMAA_050630	757	3
PMAA_040440	402	1
PMAA_040910	470	2
PMAA_077140	118	1
PMAA_015390	587	1
PMAA_059910	297	5
PMAA_045390	3311	11
PMAA_073300	690	3
PMAA_010030	1945	8
PMAA_080200	418	1
PMAA_043930	1229	2
PMAA_009220	537	2
PMAA_011340	643	1
PMAA_049390	4335	12
PMAA_047810	1644	5
PMAA_058350	1034	3
PMAA_071810	1003	3
PMAA_065050	552	2
PMAA_074820	123	1
PMAA_040700	1786	12
PMAA_015690	1934	7
PMAA_087090	1388	9
PMAA_066640	1512	3
PMAA_024210	1051	4
PMAA_071070	843	1
PMAA_092070	161	2
PMAA_069420	1933	6
PMAA_102610	535	1
PMAA_031230	733	5
PMAA_096980	266	3
PMAA_068820	1194	8
PMAA_062700	686	2
PMAA_049640	665	1
PMAA_068770	972	7
PMAA_101390	1134	5
PMAA_032450	1590	4
PMAA_077550	1479	6
PMAA_090920	2398	5
PMAA_066390	444	2
PMAA_039260	847	6
PMAA_010690	693	7
PMAA_029900	1134	6
PMAA_006490	2847	7
PMAA_084810	707	2
PMAA_055910	1620	4
PMAA_080450	325	1
PMAA_037390	358	1
PMAA_088980	960	5
PMAA_072430	896	1
PMAA_059000	1359	6
PMAA_052240	3472	19
PMAA_083560	3925	19
PMAA_016690	1019	4
PMAA_078300	540	2
PMAA_097160	902	5
PMAA_078650	1004	3
PMAA_023410	420	2
PMAA_069280	2067	5
PMAA_010960	581	4
PMAA_086320	433	2
PMAA_089580	407	2
PMAA_087670	828	4
PMAA_014270	1794	7
PMAA_090170	1423	6
PMAA_094530	168	3
PMAA_047130	3401	13
PMAA_050420	1398	4
PMAA_084780	529	1
PMAA_019340	2565	10
PMAA_016520	991	6
PMAA_048110	987	9
PMAA_019610	660	1
PMAA_059110	138	1
PMAA_075180	515	4
PMAA_072890	2384	5
PMAA_097290	1580	4
PMAA_000500	1123	1
PMAA_064010	985	5
PMAA_094240	321	2
PMAA_023980	3363	10
PMAA_055660	6129	17
PMAA_012990	704	5
PMAA_034850	2281	5
PMAA_002930	849	3
PMAA_081490	479	3
PMAA_022050	2517	7
PMAA_068480	353	2
PMAA_067930	1144	4
PMAA_021230	361	1
PMAA_033490	444	1
PMAA_098110	2010	9
PMAA_085160	612	4
PMAA_094120	1140	3
PMAA_088180	932	3
PMAA_081670	440	2
PMAA_022630	1351	5
PMAA_013820	145	1
PMAA_047970	620	4
PMAA_023090	1405	4
PMAA_097830	3242	15
PMAA_046260	1045	4
PMAA_003400	330	2
PMAA_047550	218	1
PMAA_012440	238	1
PMAA_005600	423	3
PMAA_020980	2570	13
PMAA_028550	482	2
PMAA_063540	873	4
PMAA_056360	2735	17
PMAA_041890	222	2
PMAA_087140	145	1
PMAA_079010	242	1
PMAA_012290	1614	5
PMAA_072790	1415	6
PMAA_015870	1540	5
PMAA_009580	424	2
PMAA_044130	1069	3
PMAA_001070	1394	4
PMAA_085550	2372	6
PMAA_020180	755	7
PMAA_006690	842	7
PMAA_043720	964	3
PMAA_039460	2889	10
PMAA_088720	472	1
PMAA_003360	1379	5
PMAA_099570	2258	9
PMAA_033250	487	3
PMAA_001290	3985	15
PMAA_030910	439	2
PMAA_092240	324	2
PMAA_020360	1264	4
PMAA_063130	1374	8
PMAA_056580	805	6
PMAA_039720	688	4
PMAA_084220	1346	5
PMAA_086920	1145	13
PMAA_058980	1128	6
PMAA_058630	2033	6
PMAA_099790	453	3
PMAA_051800	187	2
PMAA_050400	883	2
PMAA_079710	1188	3
PMAA_051200	1787	3
PMAA_030620	517	1
PMAA_051750	1032	2
PMAA_101880	877	3
PMAA_101550	789	8
PMAA_080690	3067	4
PMAA_054980	637	4
PMAA_008830	1256	3
PMAA_039090	395	5
PMAA_053530	1581	2
PMAA_025850	383	2
PMAA_058180	130	1
PMAA_083520	796	6
PMAA_076400	1177	5
PMAA_072510	1123	4
PMAA_057180	810	1
PMAA_002010	267	2
PMAA_078820	2103	4
PMAA_078530	2165	5
PMAA_010750	3231	9
PMAA_073110	245	1
PMAA_010200	388	4
PMAA_005590	423	3
PMAA_036160	8254	30
PMAA_009070	956	4
PMAA_014040	1221	1
PMAA_031390	726	3
PMAA_002460	850	3
PMAA_018930	285	1
PMAA_049090	1623	4
PMAA_076540	2943	15
PMAA_093590	966	7
PMAA_057980	1150	6
PMAA_067700	2119	12
PMAA_062550	1341	4
PMAA_032840	5243	21
PMAA_027100	718	3
PMAA_038410	309	1
PMAA_059580	1140	4
PMAA_075480	992	2
PMAA_002140	664	1
PMAA_004080	1378	8
PMAA_038300	334	1
PMAA_055050	287	2
PMAA_060950	1157	4
PMAA_076890	3998	22
PMAA_037570	880	3
PMAA_006190	816	2
PMAA_062280	459	4
PMAA_082120	2669	12
PMAA_059760	1666	9
PMAA_045180	475	3
PMAA_089110	460	2
PMAA_091990	2981	7
PMAA_089440	1106	2
PMAA_026740	1079	3
PMAA_044580	163	2
PMAA_085310	1568	10
PMAA_011400	490	5
PMAA_055270	1037	2
PMAA_081800	9390	19
PMAA_011150	2872	10
PMAA_024890	1691	7
PMAA_047720	466	1
PMAA_040110	1466	6
PMAA_074360	2631	5
PMAA_065260	296	1
PMAA_077940	506	1
PMAA_045980	673	6
PMAA_082340	895	1
PMAA_048270	493	1
PMAA_066070	1226	7
PMAA_078790	500	2
PMAA_044630	1259	6
PMAA_014060	740	2
PMAA_072570	685	3
PMAA_034440	1240	5
PMAA_068010	987	3
PMAA_050980	202	1
PMAA_068540	1808	3
PMAA_018750	661	3
PMAA_074020	2249	7
PMAA_061950	616	4
PMAA_032660	243	1
PMAA_001170	1397	9
PMAA_052580	1493	2
PMAA_001840	755	1
PMAA_100270	2885	10
PMAA_092870	1894	3
PMAA_006770	1864	8
PMAA_033820	330	2
PMAA_006800	2631	12
PMAA_061290	1849	11
PMAA_098560	760	5
PMAA_060040	649	3
PMAA_005350	798	5
PMAA_061560	855	3
PMAA_020430	395	2
PMAA_034620	1005	1
PMAA_088530	458	1
PMAA_074790	788	2
PMAA_052050	1733	2
PMAA_052720	192	3
PMAA_042290	547	2
PMAA_075570	1362	6
PMAA_021910	785	2
PMAA_046450	797	2
PMAA_046980	1418	6
PMAA_097620	154	1
PMAA_097330	551	2
PMAA_020060	3392	13
PMAA_093830	1085	5
PMAA_056800	6460	17
PMAA_098300	464	1
PMAA_081110	2330	8
PMAA_025070	5297	14
PMAA_013120	5809	26
PMAA_002910	340	1
PMAA_028080	290	1
PMAA_024560	1458	3
PMAA_019400	1529	5
PMAA_095660	181	1
PMAA_002570	409	2
PMAA_042740	637	4
PMAA_036540	244	1
PMAA_046180	229	1
PMAA_033530	2144	3
PMAA_046670	858	6
PMAA_028950	923	4
PMAA_071450	1935	7
PMAA_056110	3265	12
PMAA_014860	580	4
PMAA_099960	1305	10
PMAA_042600	1401	3
PMAA_101570	723	8
PMAA_026110	1063	1
PMAA_028000	1920	6
PMAA_036950	537	3
PMAA_029120	231	2
PMAA_033270	1118	6
PMAA_094820	682	1
PMAA_027510	1454	6
PMAA_044070	1301	5
PMAA_033390	1532	2
PMAA_067130	1724	15
PMAA_024300	619	4
PMAA_038620	1220	9
PMAA_029560	624	3
PMAA_037140	898	6
PMAA_091740	584	7
PMAA_102000	1631	7
PMAA_080190	2508	9
PMAA_095110	360	1
PMAA_026870	518	4
PMAA_093450	523	2
PMAA_050610	2992	12
PMAA_004740	967	2
PMAA_057640	625	2
PMAA_050340	673	3
PMAA_025250	222	2
PMAA_059970	6689	13
PMAA_045370	539	6
PMAA_061800	457	2
PMAA_080220	829	4
PMAA_073320	1664	1
PMAA_055440	791	2
PMAA_080990	418	1
PMAA_043910	932	1
PMAA_005920	166	1
PMAA_009240	569	4
PMAA_063090	1784	5
PMAA_027910	1035	5
PMAA_075550	665	4
PMAA_034830	2426	11
PMAA_071870	2780	10
PMAA_074800	491	1
PMAA_082590	495	2
PMAA_065070	3161	17
PMAA_101940	467	3
PMAA_017780	1321	6
PMAA_074780	1115	2
PMAA_035000	466	3
PMAA_066660	531	1
PMAA_029150	289	1
PMAA_092050	157	3
PMAA_051550	746	8
PMAA_028960	172	1
PMAA_096210	466	1
PMAA_063890	1266	3
PMAA_068840	2636	7
PMAA_031250	4591	22
PMAA_031700	270	2
PMAA_032470	1581	5
PMAA_037620	344	3
PMAA_025550	352	1
PMAA_071010	1370	5
PMAA_059390	1880	9
PMAA_065380	654	2
PMAA_090900	710	1
PMAA_019980	1396	7
PMAA_023670	787	1
PMAA_051560	746	8
PMAA_078490	212	2
PMAA_054510	56	1
PMAA_061490	2409	9
PMAA_039280	342	4
PMAA_070470	444	1
PMAA_086120	760	2
PMAA_005420	3578	20
PMAA_044350	351	1
PMAA_014780	707	3
PMAA_083750	1042	4
PMAA_011360	1514	11
PMAA_082100	5091	17
PMAA_058370	1189	3
PMAA_018230	993	4
PMAA_052910	392	1
PMAA_052260	486	1
PMAA_059020	278	3
PMAA_019180	248	1
PMAA_016320	1070	3
PMAA_002800	2855	10
PMAA_010940	636	5
PMAA_010410	2035	8
PMAA_097100	1144	1
PMAA_078670	822	6
PMAA_024600	1589	5
PMAA_064380	534	3
PMAA_031870	498	4
PMAA_014250	947	4
PMAA_060540	3665	17
PMAA_018580	681	1
PMAA_041190	1846	3
PMAA_011090	646	1
PMAA_049660	316	2
PMAA_068710	259	3
PMAA_042190	354	1
PMAA_019360	2037	7
PMAA_033700	1130	4
PMAA_100590	270	3
PMAA_025730	605	1
PMAA_069000	737	8
PMAA_014570	1100	3
PMAA_070000	216	1
PMAA_064030	1890	9
PMAA_077310	442	5
PMAA_060720	494	2
PMAA_017440	610	3
PMAA_081470	1360	5
PMAA_042680	389	2
PMAA_049470	130	1
PMAA_022030	1561	6
PMAA_021210	1237	6
PMAA_100730	921	4
PMAA_087600	1289	3
PMAA_100040	1020	3
PMAA_079970	680	2
PMAA_023020	858	1
PMAA_026260	3734	10
PMAA_094100	466	4
PMAA_094450	521	2
PMAA_085100	1260	3
PMAA_043350	1224	3
PMAA_098170	160	1
PMAA_013800	755	4
PMAA_025680	816	6
PMAA_081610	532	4
PMAA_015120	1567	5
PMAA_047110	1986	5
PMAA_097810	1824	7
PMAA_046240	3266	9
PMAA_062170	2211	6
PMAA_012310	756	1
PMAA_066860	505	6
PMAA_007270	1939	9
PMAA_056340	2357	10
PMAA_097130	671	4
PMAA_009420	766	4
PMAA_063560	1200	4
PMAA_002240	272	4
PMAA_077330	530	4
PMAA_001720	524	1
PMAA_010500	802	3
PMAA_070910	507	2
PMAA_020160	1672	9
PMAA_085570	443	3
PMAA_074340	733	3
PMAA_098790	1663	4
PMAA_039440	626	1
PMAA_039910	1189	5
PMAA_043740	461	5
PMAA_003380	503	3
PMAA_095270	739	2
PMAA_099550	1299	2
PMAA_099220	523	2
PMAA_065800	1033	2
PMAA_030420	1626	7
PMAA_030390	1240	6
PMAA_101710	481	3
PMAA_091080	1944	13
PMAA_004610	849	5
PMAA_020300	1318	5
PMAA_039700	676	2
PMAA_063150	865	3
PMAA_053080	336	2
PMAA_086900	4155	9
PMAA_058610	609	4
PMAA_058960	1438	9
PMAA_079690	1935	7
PMAA_006300	171	1
PMAA_090680	3258	12
PMAA_017050	510	4
PMAA_062030	599	1
PMAA_095410	2070	12
PMAA_057340	841	3
PMAA_002380	3272	13
PMAA_051820	840	3
PMAA_051770	716	3
PMAA_092190	786	4
PMAA_070640	3557	5
PMAA_025870	1279	7
PMAA_000890	1088	3
PMAA_053880	1703	8
PMAA_053550	4384	11
PMAA_096680	153	1
PMAA_047450	1545	8
PMAA_076420	1211	5
PMAA_083500	968	6
PMAA_067090	561	1
PMAA_002030	597	2
PMAA_079630	2999	13
PMAA_010770	306	2
PMAA_073170	1080	6
PMAA_009050	190	2
PMAA_023490	185	1
PMAA_009720	495	1
PMAA_054130	774	3
PMAA_036490	1380	3
PMAA_027300	612	1
PMAA_018910	1360	3
PMAA_027650	159	2
PMAA_076520	1229	3
PMAA_062570	464	1
PMAA_050280	740	2
PMAA_062020	1077	5
PMAA_032860	4251	22
PMAA_047570	510	1
PMAA_059560	1207	2
PMAA_038470	1300	4
PMAA_091550	1692	8
PMAA_091220	181	1
PMAA_008720	3107	9
PMAA_096020	297	2
PMAA_055070	1729	4
PMAA_031110	1156	1
PMAA_041730	506	2
PMAA_049870	1202	3
PMAA_034050	1185	4
PMAA_002320	1035	5
PMAA_004300	493	2
PMAA_096470	646	2
PMAA_059700	1795	6
PMAA_078800	500	2
PMAA_068030	1145	2
PMAA_051480	1668	4
PMAA_089420	2977	8
PMAA_085370	520	6
PMAA_011130	331	2
PMAA_003540	119	1
PMAA_003810	1195	2
PMAA_081860	2834	14
PMAA_065240	848	8
PMAA_037930	816	6
PMAA_040130	663	5
PMAA_077920	666	3
PMAA_082360	2298	10
PMAA_061000	547	2
PMAA_066050	1015	4
PMAA_007040	858	4
PMAA_008090	1627	2
PMAA_026820	303	1
PMAA_044650	528	2
PMAA_003600	402	2
PMAA_007510	516	6
PMAA_032210	1300	9
PMAA_028250	165	3
PMAA_034420	139	1
PMAA_018770	1813	4
PMAA_034790	1844	6
PMAA_068520	1637	3
PMAA_074000	3190	6
PMAA_032130	541	2
PMAA_014970	1570	11
PMAA_038890	404	1
PMAA_092850	186	2
PMAA_016060	1237	7
PMAA_029030	1171	4
PMAA_089130	386	1
PMAA_036200	2109	5
PMAA_096290	2744	17
PMAA_098540	597	3
PMAA_034390	3473	9
PMAA_098090	1146	2
PMAA_081280	994	5
PMAA_065650	523	4
PMAA_084420	6435	34
PMAA_082810	1215	4
PMAA_052700	800	4
PMAA_041660	1065	5
PMAA_002630	726	2
PMAA_097310	327	1
PMAA_046470	198	1
PMAA_021970	740	1
PMAA_086480	735	4
PMAA_012810	614	4
PMAA_017860	949	3
PMAA_081130	1343	2
PMAA_056280	569	2
PMAA_047300	871	4
PMAA_013140	5606	17
PMAA_044110	524	3
PMAA_095640	1684	4
PMAA_079440	509	1
PMAA_079190	1012	1
PMAA_042760	3878	17
PMAA_101440	214	3
PMAA_002550	2210	6
PMAA_033510	2164	7
PMAA_046650	363	1
PMAA_035260	2877	5
PMAA_022550	328	2
PMAA_000770	5799	24
PMAA_060060	495	2
PMAA_008890	543	9
PMAA_026950	2754	11
PMAA_071430	347	3
PMAA_079220	1883	5
PMAA_099940	1005	3
PMAA_079990	1345	3
PMAA_023530	2286	8
PMAA_069800	317	1
PMAA_087990	565	2
PMAA_064830	768	2
PMAA_029400	460	2
PMAA_012760	304	3
PMAA_094660	221	3
PMAA_098320	262	1
PMAA_056750	213	1
PMAA_094840	2375	5
PMAA_093810	1584	9
PMAA_098890	485	4
PMAA_027820	2450	4
PMAA_015620	2932	17
PMAA_044930	1554	7
PMAA_099050	406	1
PMAA_094920	2653	8
PMAA_090540	829	5
PMAA_021790	1263	7
PMAA_024320	1965	7
PMAA_015930	3119	11
PMAA_038640	519	2
PMAA_030090	181	3
PMAA_029540	1291	6
PMAA_101380	1664	11
PMAA_085900	217	1
PMAA_043680	449	2
PMAA_056130	1335	6
PMAA_091020	485	1
PMAA_096610	932	3
PMAA_004720	1902	6
PMAA_057660	2050	12
PMAA_004890	1431	7
PMAA_100700	1398	4
PMAA_059950	968	2
PMAA_040480	137	1
PMAA_040950	1173	3
PMAA_001550	3429	7
PMAA_030890	1987	6
PMAA_045350	134	2
PMAA_077100	2749	4
PMAA_029890	1134	6
PMAA_061820	114	1
PMAA_009910	2652	15
PMAA_045550	785	4
PMAA_043970	471	2
PMAA_009260	198	2
PMAA_062290	529	2
PMAA_071850	569	2
PMAA_041250	581	1
PMAA_065010	1371	1
PMAA_101960	3615	12
PMAA_035600	1109	2
PMAA_026060	147	1
PMAA_035350	1041	5
PMAA_054280	1445	5
PMAA_066600	448	1
PMAA_039110	1334	4
PMAA_092030	143	1
PMAA_053940	931	3
PMAA_068860	152	1
PMAA_096230	962	3
PMAA_031270	412	1
PMAA_090000	1501	7
PMAA_027790	1436	3
PMAA_083190	117	1
PMAA_093320	254	1
PMAA_037600	919	3
PMAA_090960	386	1
PMAA_051010	453	4
PMAA_054060	647	1
PMAA_041260	466	1
PMAA_056010	7021	26
PMAA_054110	720	3
PMAA_058390	1190	3
PMAA_075430	527	5
PMAA_075860	380	2
PMAA_083990	404	3
PMAA_056540	261	1
PMAA_011300	160	1
PMAA_019160	693	6
PMAA_016300	492	3
PMAA_059040	596	3
PMAA_045820	414	3
PMAA_025390	534	2
PMAA_048480	352	2
PMAA_025360	539	1
PMAA_002820	664	3
PMAA_097120	671	4
PMAA_078610	1054	3
PMAA_010430	284	1
PMAA_049680	1066	5
PMAA_068730	685	4
PMAA_067510	600	2
PMAA_015560	2828	13
PMAA_019300	478	2
PMAA_048150	1499	3
PMAA_057940	1015	6
PMAA_069020	245	1
PMAA_023940	4352	17
PMAA_070060	691	1
PMAA_008390	695	1
PMAA_055620	3053	10
PMAA_063670	803	7
PMAA_040310	395	1
PMAA_088940	505	4
PMAA_081450	260	1
PMAA_022010	1550	5
PMAA_059640	1940	9
PMAA_090410	2456	16
PMAA_052930	351	2
PMAA_024910	76	1
PMAA_021890	2183	5
PMAA_005520	971	2
PMAA_012150	1156	9
PMAA_026200	1028	5
PMAA_085120	123	1
PMAA_043370	903	8
PMAA_093310	254	1
PMAA_098150	391	1
PMAA_081630	651	1
PMAA_068190	369	1
PMAA_015100	1411	4
PMAA_097140	5430	10
PMAA_077480	681	1
PMAA_097870	1157	4
PMAA_046220	319	1
PMAA_044900	161	2
PMAA_012480	406	2
PMAA_041000	843	6
PMAA_079810	708	3
PMAA_007700	561	6
PMAA_066840	1564	5
PMAA_071030	210	5
PMAA_034980	1236	3
PMAA_007250	1394	3
PMAA_094780	3645	15
PMAA_071220	1289	8
PMAA_003010	377	1
PMAA_049550	1119	4
PMAA_079050	464	2
PMAA_070930	703	4
PMAA_048970	152	1
PMAA_006390	976	5
PMAA_038210	511	1
PMAA_066590	448	1
PMAA_043760	785	3
PMAA_016720	616	2
PMAA_039930	930	3
PMAA_088760	1760	9
PMAA_071080	608	3
PMAA_013680	695	1
PMAA_058800	378	1
PMAA_095250	965	2
PMAA_002100	942	1
PMAA_065820	299	2
PMAA_095780	353	1
PMAA_099200	1922	5
PMAA_021090	1362	6
PMAA_003200	379	2
PMAA_020850	854	2
PMAA_092200	604	1
PMAA_020320	240	3
PMAA_053710	819	3
PMAA_013350	2006	11
PMAA_037980	763	3
PMAA_013420	132	3
PMAA_075750	3104	9
PMAA_064480	138	2
PMAA_058940	1370	6
PMAA_057410	1423	3
PMAA_047410	644	3
PMAA_095430	662	3
PMAA_072750	579	3
PMAA_051840	215	3
PMAA_064990	1934	11
PMAA_097050	614	1
PMAA_073480	2659	6
PMAA_053570	208	1
PMAA_070660	223	1
PMAA_027490	249	1
PMAA_058490	822	3
PMAA_042410	1145	4
PMAA_067070	7967	38
PMAA_076440	3444	6
PMAA_038310	201	3
PMAA_030400	1240	6
PMAA_101770	885	3
PMAA_070590	2718	11
PMAA_009700	1900	8
PMAA_036120	1171	3
PMAA_076500	2143	3
PMAA_093550	422	1
PMAA_095920	3432	14
PMAA_018970	1493	3
PMAA_027670	3287	11
PMAA_099000	1045	8
PMAA_040540	440	1
PMAA_038450	2713	8
PMAA_059540	842	4
PMAA_032800	381	3
PMAA_101590	1717	3
PMAA_035290	200	5
PMAA_030660	292	2
PMAA_051710	1793	3
PMAA_102020	385	4
PMAA_041130	761	3
PMAA_058230	562	4
PMAA_055010	489	4
PMAA_047510	648	2
PMAA_049850	920	2
PMAA_050000	907	3
PMAA_077320	3737	24
PMAA_077710	4279	17
PMAA_087440	1590	8
PMAA_059720	317	3
PMAA_006020	1286	4
PMAA_004470	215	2
PMAA_073150	301	1
PMAA_073620	533	3
PMAA_078860	1236	7
PMAA_074480	240	2
PMAA_085350	186	1
PMAA_097020	370	2
PMAA_061410	1292	10
PMAA_011440	4455	9
PMAA_004280	1140	6
PMAA_081840	481	2
PMAA_003830	1099	3
PMAA_037290	432	2
PMAA_040150	243	1
PMAA_082380	269	2
PMAA_065220	385	3
PMAA_077900	642	2
PMAA_035830	1090	4
PMAA_061020	469	2
PMAA_066030	356	2
PMAA_039320	786	2
PMAA_017070	226	1
PMAA_018790	389	1
PMAA_034400	465	2
PMAA_034520	1122	6
PMAA_063770	394	5
PMAA_068500	2003	9
PMAA_032110	398	2
PMAA_001880	510	1
PMAA_052890	1707	2
PMAA_008620	149	2
PMAA_102530	970	5
PMAA_036430	761	1
PMAA_092780	444	5
PMAA_054720	1125	3
PMAA_100940	509	3
PMAA_034170	632	3
PMAA_089400	677	2
PMAA_022200	942	4
PMAA_047090	1577	4
PMAA_022750	615	3
PMAA_082830	541	4
PMAA_052090	695	3
PMAA_101220	4713	15
PMAA_016460	145	2
PMAA_048810	910	3
PMAA_097660	1304	8
PMAA_078130	230	3
PMAA_021950	1927	5
PMAA_024090	560	1
PMAA_064170	782	2
PMAA_046410	662	2
PMAA_017840	1115	3
PMAA_029050	127	1
PMAA_007060	1108	8
PMAA_060880	730	5
PMAA_044670	605	2
PMAA_058810	1825	14
PMAA_013160	2353	10
PMAA_047320	193	3
PMAA_079420	497	2
PMAA_042780	370	1
PMAA_062820	560	1
PMAA_041380	1099	2
PMAA_100360	1519	11
PMAA_067850	245	3
PMAA_037210	4786	13
PMAA_033570	7730	21
PMAA_026690	1389	7
PMAA_000750	1841	11
PMAA_091840	2667	9
PMAA_102750	398	3
PMAA_060080	442	1
PMAA_007390	267	1
PMAA_008560	1785	5
PMAA_098520	3320	17
PMAA_071200	363	3
PMAA_099690	516	1
PMAA_021400	980	5
PMAA_064500	669	5
PMAA_029420	285	3
PMAA_044160	1847	4
PMAA_094310	483	2
PMAA_094640	338	3
PMAA_094860	416	1
PMAA_097450	1753	7
PMAA_048890	3338	15
PMAA_099070	1033	1
PMAA_057060	887	5
PMAA_024340	1542	8
PMAA_015910	167	1
PMAA_038660	814	3
PMAA_001390	902	6
PMAA_029520	1215	4
PMAA_085920	963	10
PMAA_085430	1187	5
PMAA_027530	3048	6
PMAA_007930	724	1
PMAA_072530	526	1
PMAA_003220	573	3
PMAA_028170	197	2
PMAA_071410	998	4
PMAA_004870	682	8
PMAA_004700	118	1
PMAA_040970	443	3
PMAA_072140	1798	7
PMAA_015380	448	2
PMAA_001570	1393	2
PMAA_030870	896	2
PMAA_023120	1732	3
PMAA_017210	1001	4
PMAA_073810	745	1
PMAA_009930	772	6
PMAA_043950	1125	2
PMAA_027800	677	2
PMAA_065030	406	1
PMAA_054260	1247	3
PMAA_066620	1069	2
PMAA_101900	778	2
PMAA_035620	180	2
PMAA_035330	2254	24
PMAA_092010	541	1
PMAA_044170	633	2
PMAA_053960	929	6
PMAA_068880	545	2
PMAA_039130	1618	6
PMAA_028920	983	4
PMAA_058000	523	2
PMAA_059670	1417	7
PMAA_084380	645	3
PMAA_090940	1331	8
PMAA_087380	3606	10
PMAA_051030	497	3
PMAA_078450	321	1
PMAA_014400	420	1
PMAA_010180	2360	9
PMAA_044310	4394	5
PMAA_014740	1429	3
PMAA_070430	120	2
PMAA_058500	869	1
PMAA_049330	848	5
PMAA_083710	1483	5
PMAA_095420	363	3
PMAA_016920	841	4
PMAA_045800	383	1
PMAA_048310	208	1
PMAA_087550	1728	4
PMAA_002840	2540	11
PMAA_064340	260	3
PMAA_022420	815	6
PMAA_010980	1102	4
PMAA_080420	890	2
PMAA_086380	720	1
PMAA_031830	508	1
PMAA_014290	735	3
PMAA_093760	667	1
PMAA_062010	8401	47
PMAA_029010	1110	2
PMAA_100550	612	2
PMAA_033960	2052	14
PMAA_033740	332	3
PMAA_023960	769	2
PMAA_070040	956	4
PMAA_055600	4302	11
PMAA_055350	3079	5
PMAA_094500	365	2
PMAA_002920	379	2
PMAA_011580	304	3
PMAA_081430	421	1
PMAA_047660	1064	3
PMAA_074090	522	2
PMAA_087650	1699	10
PMAA_019140	448	1
PMAA_082440	1216	2
PMAA_043070	1984	13
PMAA_100770	2609	4
PMAA_050360	1442	8
PMAA_026220	1156	4
PMAA_026990	619	2
PMAA_017980	226	1
PMAA_003430	1464	4
PMAA_018630	614	2
PMAA_093370	8231	32
PMAA_050800	347	2
PMAA_081380	1772	6
PMAA_004420	4334	23
PMAA_043310	4260	19
PMAA_063690	2666	7
PMAA_022690	792	4
PMAA_040230	485	2
PMAA_019850	1110	6
PMAA_048170	574	4
PMAA_019320	345	1
PMAA_016580	940	8
PMAA_049880	296	1
PMAA_017180	825	1
PMAA_066820	391	1
PMAA_011910	527	2
PMAA_034210	524	3
PMAA_007720	1397	7
PMAA_007230	44	1
PMAA_068310	736	1
PMAA_047940	337	2
PMAA_088290	1893	3
PMAA_074630	7703	21
PMAA_052370	1943	9
PMAA_065590	1704	4
PMAA_009590	424	2
PMAA_100080	643	2
PMAA_067990	414	3
PMAA_070950	1510	6
PMAA_028540	482	2
PMAA_044840	2014	9
PMAA_093990	1701	9
PMAA_020120	2437	9
PMAA_082430	2131	10
PMAA_039950	541	1
PMAA_088030	955	4
PMAA_014980	2015	8
PMAA_083510	364	3
PMAA_088740	2837	11
PMAA_084670	607	2
PMAA_042040	1506	2
PMAA_095230	1113	8
PMAA_099260	989	6
PMAA_024590	5304	15
PMAA_046200	2470	12
PMAA_046750	402	4
PMAA_076060	1353	13
PMAA_097850	1662	3
PMAA_020870	1862	3
PMAA_092220	201	2
PMAA_056070	141	2
PMAA_053770	1542	6
PMAA_013400	411	1
PMAA_062150	1062	7
PMAA_067330	271	1
PMAA_051860	2343	16
PMAA_072770	3674	17
PMAA_057470	914	4
PMAA_064970	550	2
PMAA_001760	217	1
PMAA_053590	1101	5
PMAA_071600	325	1
PMAA_070600	3251	9
PMAA_009890	3200	11
PMAA_083540	2095	9
PMAA_015450	809	2
PMAA_021290	675	6
PMAA_042430	232	2
PMAA_072950	785	5
PMAA_076460	1028	2
PMAA_067050	555	3
PMAA_021610	1878	10
PMAA_072550	3870	13
PMAA_008800	698	3
PMAA_101750	828	1
PMAA_091040	2256	6
PMAA_043520	1712	8
PMAA_002690	1207	4
PMAA_102220	656	4
PMAA_036100	1445	9
PMAA_009090	780	3
PMAA_009760	762	3
PMAA_031480	321	4
PMAA_093570	1166	3
PMAA_027610	626	3
PMAA_057290	844	1
PMAA_041020	2262	6
PMAA_040560	595	3
PMAA_032820	613	1
PMAA_001180	566	3
PMAA_059520	2847	13
PMAA_030680	127	3
PMAA_051730	429	3
PMAA_054920	1427	9
PMAA_091260	720	3
PMAA_080360	10000	38
PMAA_017110	434	2
PMAA_083810	789	6
PMAA_102040	320	3
PMAA_055030	438	3
PMAA_049780	3421	12
PMAA_084840	2524	6
PMAA_037560	880	3
PMAA_050020	2432	7
PMAA_071950	1593	13
PMAA_082630	1132	1
PMAA_017400	201	1
PMAA_078840	2146	5
PMAA_073600	1093	3
PMAA_006180	816	2
